company,symbol,scrip_code,indices
Reliance Industries,RELIANCE,500325,Nifty50;Sensex
Tata Consultancy Services,TCS,532540,Nifty50;Sensex
HDFC Bank,HDFCBANK,500180,Nifty50;Sensex
Infosys,INFY,500209,Nifty50;Sensex
ICICI Bank,ICICIBANK,532174,Nifty50;Sensex
Hindustan Unilever,HINDUNILVR,500696,Nifty50;Sensex
ITC,ITC,500875,Nifty50;Sensex
State Bank of India,SBIN,500112,Nifty50;Sensex
Bharti Airtel,BHARTIARTL,532454,Nifty50;Sensex
Kotak Mahindra Bank,KOTAKBANK,500247,Nifty50;Sensex
Larsen & Toubro,LT,500510,Nifty50;Sensex
Axis Bank,AXISBANK,532215,Nifty50;Sensex
Bajaj Finance,BAJFINANCE,500034,Nifty50;Sensex
Asian Paints,ASIANPAINT,500820,Nifty50;Sensex
Maruti Suzuki,MARUTI,532500,Nifty50;Sensex
HCL Technologies,HCLTECH,532281,Nifty50;Sensex
Sun Pharmaceutical,SUNPHARMA,524715,Nifty50;Sensex
Titan Company,TITAN,500114,Nifty50;Sensex
UltraTech Cement,ULTRACEMCO,532538,Nifty50;Sensex
NTPC,NTPC,532555,Nifty50;Sensex
Power Grid Corporation,POWERGRID,532898,Nifty50;Sensex
Nestle India,NESTLEIND,500790,Nifty50;Sensex
Tata Motors,TATAMOTORS,500570,Nifty50;Sensex
Tata Steel,TATASTEEL,500470,Nifty50;Sensex
Bajaj Finserv,BAJAJFINSV,532978,Nifty50;Sensex
Mahindra & Mahindra,M&M,500520,Nifty50;Sensex
Tech Mahindra,TECHM,532755,Nifty50;Sensex
IndusInd Bank,INDUSINDBK,532187,Nifty50;Sensex
JSW Steel,JSWSTEEL,500228,Nifty50;Sensex
Dr Reddys Laboratories,DRREDDY,500124,Nifty50;Sensex
Adani Ports,ADANIPORTS,532921,Nifty50
Adani Enterprises,ADANIENT,512599,Nifty50
Grasim Industries,GRASIM,500300,Nifty50
Hindalco Industries,HINDALCO,500440,Nifty50
Cipla,CIPLA,500087,Nifty50
Coal India,COALINDIA,533278,Nifty50
Eicher Motors,EICHERMOT,505200,Nifty50
Britannia Industries,BRITANNIA,500825,Nifty50
Apollo Hospitals,APOLLOHOSP,508869,Nifty50
Bajaj Auto,BAJAJ-AUTO,532977,Nifty50
Hero MotoCorp,HEROMOTOCO,500182,Nifty50
Bharat Petroleum,BPCL,500547,Nifty50
Oil & Natural Gas Corporation,ONGC,500312,Nifty50
SBI Life Insurance,SBILIFE,540719,Nifty50
HDFC Life Insurance,HDFCLIFE,540777,Nifty50
Tata Consumer Products,TATACONSUM,500800,Nifty50
Wipro,WIPRO,507685,Nifty50
Divis Laboratories,DIVISLAB,532488,Nifty50
Trent,TRENT,500251,Nifty50
LTIMindtree,LTIM,540005,Nifty50
